"Time","write"
2023-12-23 13:23:00,0
2023-12-23 13:23:10,0
2023-12-23 13:23:20,0
2023-12-23 13:23:30,0
2023-12-23 13:23:40,0
2023-12-23 13:23:50,0
2023-12-23 13:24:00,0
2023-12-23 13:24:10,0
2023-12-23 13:24:20,0
2023-12-23 13:24:30,0
2023-12-23 13:24:40,0
2023-12-23 13:24:50,0
2023-12-23 13:25:00,0
2023-12-23 13:25:10,0
2023-12-23 13:25:20,0
2023-12-23 13:25:30,0
2023-12-23 13:25:40,0
2023-12-23 13:25:50,0
2023-12-23 13:26:00,0
2023-12-23 13:26:10,0
2023-12-23 13:26:20,0
2023-12-23 13:26:30,0
2023-12-23 13:26:40,0
2023-12-23 13:26:50,0
2023-12-23 13:27:00,0
2023-12-23 13:27:10,0
2023-12-23 13:27:20,0
2023-12-23 13:27:30,0
2023-12-23 13:27:40,0
2023-12-23 13:27:50,0
2023-12-23 13:28:00,0
2023-12-23 13:28:10,0
2023-12-23 13:28:20,0
2023-12-23 13:28:30,0
2023-12-23 13:28:40,0
2023-12-23 13:28:50,0
2023-12-23 13:29:00,0
2023-12-23 13:29:10,0
2023-12-23 13:29:20,0
2023-12-23 13:29:30,0
2023-12-23 13:29:40,0
2023-12-23 13:29:50,0
2023-12-23 13:30:00,0
2023-12-23 13:30:10,0
2023-12-23 13:30:20,0
2023-12-23 13:30:30,0
2023-12-23 13:30:40,0
2023-12-23 13:30:50,0
2023-12-23 13:31:00,0
2023-12-23 13:31:10,0
2023-12-23 13:31:20,0
2023-12-23 13:31:30,0
2023-12-23 13:31:40,0
2023-12-23 13:31:50,0
2023-12-23 13:32:00,0
2023-12-23 13:32:10,0
2023-12-23 13:32:20,0
2023-12-23 13:32:30,0
2023-12-23 13:32:40,0
2023-12-23 13:32:50,0
2023-12-23 13:33:00,935
2023-12-23 13:33:10,1247
2023-12-23 13:33:20,1559
2023-12-23 13:33:30,5231
2023-12-23 13:33:40,6662
2023-12-23 13:33:50,8094
2023-12-23 13:34:00,10647
2023-12-23 13:34:10,12704
2023-12-23 13:34:20,12704
2023-12-23 13:34:30,13446
2023-12-23 13:34:40,14189
2023-12-23 13:34:50,14189
2023-12-23 13:35:00,7094
2023-12-23 13:35:10,0
2023-12-23 13:35:20,0
2023-12-23 13:35:30,16549
2023-12-23 13:35:40,33099
2023-12-23 13:35:50,33099
2023-12-23 13:36:00,26699
2023-12-23 13:36:10,20300
2023-12-23 13:36:20,20300
2023-12-23 13:36:30,19809
2023-12-23 13:36:40,19318
2023-12-23 13:36:50,19318
2023-12-23 13:37:00,21207
2023-12-23 13:37:10,23096
2023-12-23 13:37:20,23096
2023-12-23 13:37:30,22710
2023-12-23 13:37:40,22324
2023-12-23 13:37:50,22324
2023-12-23 13:38:00,21938
2023-12-23 13:38:10,21553
2023-12-23 13:38:20,21553
2023-12-23 13:38:30,15754
2023-12-23 13:38:40,9956
2023-12-23 13:38:50,9956
2023-12-23 13:39:00,4978
2023-12-23 13:39:10,0
2023-12-23 13:39:20,0
2023-12-23 13:39:30,0
2023-12-23 13:39:40,0
2023-12-23 13:39:50,0
2023-12-23 13:40:00,0
2023-12-23 13:40:10,0
2023-12-23 13:40:20,0
2023-12-23 13:40:30,0
2023-12-23 13:40:40,0
2023-12-23 13:40:50,0
2023-12-23 13:41:00,0
2023-12-23 13:41:10,0
2023-12-23 13:41:20,0
2023-12-23 13:41:30,0
2023-12-23 13:41:40,0
2023-12-23 13:41:50,0
2023-12-23 13:42:00,0
2023-12-23 13:42:10,0
2023-12-23 13:42:20,0
2023-12-23 13:42:30,0
2023-12-23 13:42:40,0
2023-12-23 13:42:50,0
2023-12-23 13:43:00,0.100
2023-12-23 13:43:10,0.133
2023-12-23 13:43:20,0.167
2023-12-23 13:43:30,0.100
2023-12-23 13:43:40,0
2023-12-23 13:43:50,0
2023-12-23 13:44:00,0
2023-12-23 13:44:10,0
2023-12-23 13:44:20,0
2023-12-23 13:44:30,0
2023-12-23 13:44:40,0
2023-12-23 13:44:50,0
2023-12-23 13:45:00,0
2023-12-23 13:45:10,0
2023-12-23 13:45:20,0
2023-12-23 13:45:30,0
2023-12-23 13:45:40,0
2023-12-23 13:45:50,0
2023-12-23 13:46:00,0
2023-12-23 13:46:10,0
2023-12-23 13:46:20,0
2023-12-23 13:46:30,0
2023-12-23 13:46:40,0
2023-12-23 13:46:50,0
2023-12-23 13:47:00,0
2023-12-23 13:47:10,0
2023-12-23 13:47:20,0
2023-12-23 13:47:30,0
2023-12-23 13:47:40,0
2023-12-23 13:47:50,0
2023-12-23 13:48:00,0
2023-12-23 13:48:10,0
2023-12-23 13:48:20,0
2023-12-23 13:48:30,0
2023-12-23 13:48:40,0
2023-12-23 13:48:50,0
2023-12-23 13:49:00,0
2023-12-23 13:49:10,0
2023-12-23 13:49:20,0
2023-12-23 13:49:30,859
2023-12-23 13:49:40,1146
2023-12-23 13:49:50,1432
2023-12-23 13:50:00,6233
2023-12-23 13:50:10,8024
2023-12-23 13:50:20,9815
2023-12-23 13:50:30,12959
2023-12-23 13:50:40,15171
2023-12-23 13:50:50,15171
2023-12-23 13:51:00,18036
2023-12-23 13:51:10,20902
2023-12-23 13:51:20,20902
2023-12-23 13:51:30,22723
2023-12-23 13:51:40,24543
2023-12-23 13:51:50,24543
2023-12-23 13:52:00,25464
2023-12-23 13:52:10,26384
2023-12-23 13:52:20,26384
2023-12-23 13:52:30,25746
2023-12-23 13:52:40,25108
2023-12-23 13:52:50,25108
2023-12-23 13:53:00,25222
2023-12-23 13:53:10,25337
2023-12-23 13:53:20,25337
2023-12-23 13:53:30,18773
2023-12-23 13:53:40,12209
2023-12-23 13:53:50,12209
2023-12-23 13:54:00,11460
2023-12-23 13:54:10,10711
2023-12-23 13:54:20,10711
2023-12-23 13:54:30,21730
2023-12-23 13:54:40,32749
2023-12-23 13:54:50,32749
2023-12-23 13:55:00,28565
2023-12-23 13:55:10,24382
2023-12-23 13:55:20,24382
2023-12-23 13:55:30,25674
2023-12-23 13:55:40,26967
2023-12-23 13:55:50,26967
2023-12-23 13:56:00,26916
2023-12-23 13:56:10,26864
2023-12-23 13:56:20,26864
2023-12-23 13:56:30,27820
2023-12-23 13:56:40,28776
2023-12-23 13:56:50,28776
2023-12-23 13:57:00,27280
2023-12-23 13:57:10,25783
2023-12-23 13:57:20,25783
2023-12-23 13:57:30,25143
2023-12-23 13:57:40,24503
2023-12-23 13:57:50,24503
2023-12-23 13:58:00,23371
2023-12-23 13:58:10,22239
2023-12-23 13:58:20,22239
2023-12-23 13:58:30,18682
2023-12-23 13:58:40,15125
2023-12-23 13:58:50,15125
2023-12-23 13:59:00,7562
2023-12-23 13:59:10,0
2023-12-23 13:59:20,0
2023-12-23 13:59:30,0
2023-12-23 13:59:40,0
2023-12-23 13:59:50,0
2023-12-23 14:00:00,0
2023-12-23 14:00:10,0
2023-12-23 14:00:20,0
2023-12-23 14:00:30,0.0500
2023-12-23 14:00:40,0.100
2023-12-23 14:00:50,0.100
2023-12-23 14:01:00,0.100
2023-12-23 14:01:10,0.100
2023-12-23 14:01:20,0.100
2023-12-23 14:01:30,0.0500
2023-12-23 14:01:40,0
2023-12-23 14:01:50,0
2023-12-23 14:02:00,0
2023-12-23 14:02:10,0
2023-12-23 14:02:20,0
2023-12-23 14:02:30,0
2023-12-23 14:02:40,0
2023-12-23 14:02:50,0
2023-12-23 14:03:00,0
2023-12-23 14:03:10,0
2023-12-23 14:03:20,0
2023-12-23 14:03:30,0
2023-12-23 14:03:40,0
2023-12-23 14:03:50,0
2023-12-23 14:04:00,0
2023-12-23 14:04:10,0
2023-12-23 14:04:20,0
2023-12-23 14:04:30,380
2023-12-23 14:04:40,507
2023-12-23 14:04:50,634
2023-12-23 14:05:00,5355
2023-12-23 14:05:10,8221
2023-12-23 14:05:20,9275
2023-12-23 14:05:30,15415
2023-12-23 14:05:40,20881
2023-12-23 14:05:50,20881
2023-12-23 14:06:00,23472
2023-12-23 14:06:10,26063
2023-12-23 14:06:20,26063
2023-12-23 14:06:30,27541
2023-12-23 14:06:40,29018
2023-12-23 14:06:50,29018
2023-12-23 14:07:00,28816
2023-12-23 14:07:10,28615
2023-12-23 14:07:20,28615
2023-12-23 14:07:30,27948
2023-12-23 14:07:40,27281
2023-12-23 14:07:50,27281
2023-12-23 14:08:00,26191
2023-12-23 14:08:10,25100
2023-12-23 14:08:20,25100
2023-12-23 14:08:30,24746
2023-12-23 14:08:40,24392
2023-12-23 14:08:50,24392
2023-12-23 14:09:00,20357
2023-12-23 14:09:10,16321
2023-12-23 14:09:20,16321
2023-12-23 14:09:30,24681
2023-12-23 14:09:40,33042
2023-12-23 14:09:50,33042
2023-12-23 14:10:00,29461
2023-12-23 14:10:10,25881
2023-12-23 14:10:20,25881
2023-12-23 14:10:30,25209
2023-12-23 14:10:40,24536
2023-12-23 14:10:50,24536
2023-12-23 14:11:00,22949
2023-12-23 14:11:10,21362
2023-12-23 14:11:20,21362
2023-12-23 14:11:30,13401
2023-12-23 14:11:40,5440
2023-12-23 14:11:50,5440
2023-12-23 14:12:00,2720
2023-12-23 14:12:10,0
2023-12-23 14:12:20,0
2023-12-23 14:12:30,0
2023-12-23 14:12:40,0
2023-12-23 14:12:50,0
2023-12-23 14:13:00,0
2023-12-23 14:13:10,0
2023-12-23 14:13:20,0
2023-12-23 14:13:30,0
2023-12-23 14:13:40,0
2023-12-23 14:13:50,0
2023-12-23 14:14:00,0
2023-12-23 14:14:10,0
2023-12-23 14:14:20,0
2023-12-23 14:14:30,0
2023-12-23 14:14:40,0
2023-12-23 14:14:50,0
2023-12-23 14:15:00,0
2023-12-23 14:15:10,0
2023-12-23 14:15:20,0
2023-12-23 14:15:30,0
2023-12-23 14:15:40,0
2023-12-23 14:15:50,0
2023-12-23 14:16:00,0
2023-12-23 14:16:10,0
2023-12-23 14:16:20,0
2023-12-23 14:16:30,0
2023-12-23 14:16:40,0
2023-12-23 14:16:50,0
2023-12-23 14:17:00,0
2023-12-23 14:17:10,0
2023-12-23 14:17:20,0
2023-12-23 14:17:30,0
2023-12-23 14:17:40,0
2023-12-23 14:17:50,0
2023-12-23 14:18:00,0

